"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
212,8 Feb 2020 05:49:17.406,8 Feb 2020 06:00:52.816,695.410
213,8 Feb 2020 07:27:50.530,8 Feb 2020 07:36:46.088,535.558
214,8 Feb 2020 15:22:34.494,8 Feb 2020 15:31:38.516,544.022
215,8 Feb 2020 16:58:34.253,8 Feb 2020 17:10:08.866,694.613
216,8 Feb 2020 18:39:58.756,8 Feb 2020 18:45:58.215,359.459
217,9 Feb 2020 04:54:51.662,9 Feb 2020 05:05:00.375,608.713
218,9 Feb 2020 06:32:18.069,9 Feb 2020 06:43:30.927,672.858
219,9 Feb 2020 08:12:08.702,9 Feb 2020 08:16:54.715,286.013
220,9 Feb 2020 14:31:42.852,9 Feb 2020 14:34:32.940,170.088
221,9 Feb 2020 16:04:07.851,9 Feb 2020 16:15:05.771,657.921
222,9 Feb 2020 17:42:09.326,9 Feb 2020 17:52:45.136,635.810
223,10 Feb 2020 04:02:19.581,10 Feb 2020 04:06:19.724,240.143
224,10 Feb 2020 05:37:20.907,10 Feb 2020 05:48:49.650,688.743
225,10 Feb 2020 07:15:39.614,10 Feb 2020 07:25:17.136,577.522
226,10 Feb 2020 15:11:10.046,10 Feb 2020 15:19:25.134,495.088
227,10 Feb 2020 16:46:34.443,10 Feb 2020 16:58:10.961,696.518
228,10 Feb 2020 18:27:01.462,10 Feb 2020 18:34:36.890,455.428
229,11 Feb 2020 04:43:07.462,11 Feb 2020 04:52:33.524,566.062
230,11 Feb 2020 06:20:15.843,11 Feb 2020 06:31:42.072,686.229
231,11 Feb 2020 07:59:36.503,11 Feb 2020 08:05:56.112,379.609
232,11 Feb 2020 15:52:26.273,11 Feb 2020 16:03:00.654,634.381
233,11 Feb 2020 17:29:53.341,11 Feb 2020 17:40:54.687,661.346
234,12 Feb 2020 05:25:26.302,12 Feb 2020 05:36:42.169,675.867
235,12 Feb 2020 07:03:31.119,12 Feb 2020 07:13:43.276,612.157
236,12 Feb 2020 14:59:52.202,12 Feb 2020 15:07:07.672,435.470
237,12 Feb 2020 16:34:38.633,12 Feb 2020 16:46:11.447,692.814
238,12 Feb 2020 18:14:18.996,12 Feb 2020 18:23:03.554,524.558
239,13 Feb 2020 04:31:28.452,13 Feb 2020 04:39:58.838,510.386
240,13 Feb 2020 06:08:15.144,13 Feb 2020 06:19:49.297,694.153
241,13 Feb 2020 07:47:14.479,13 Feb 2020 07:54:44.785,450.306
242,13 Feb 2020 15:40:48.942,13 Feb 2020 15:50:53.734,604.792
243,13 Feb 2020 17:17:42.331,13 Feb 2020 17:29:01.739,679.407
244,14 Feb 2020 05:13:33.887,14 Feb 2020 05:24:30.061,656.174
